,Flight,Aicraft
954,SG-635,737
955,6E-469,A320
956,6E-537,A320
957,6E-869,A320
958,6E-6247,A320
959,6E-871,A320
960,6E-735,A320
961,6E-5007,A320
962,SG-8906,737
963,G8-374,A320
964,G8-401,A320
965,G8-403,A320
966,SG-3233,DH8B
967,SG-3719,DH8B
968,6E-7257,ATR
969,SG-3725,DH8B
970,AI-604,A20N
971,I5-736,A20N
972,AI-772,A319
973,G8-292,A320
974,AI-564,A321
975,G8-805,A320
976,G8-801,A320
977,AI-583,A320
978,6E-113,A320
979,6E-5365,A321
980,6E-5323,A320
981,6E-131,A320
982,6E-7227,ATR
983,6E-295,A320
984,6E-6345,A321
985,6E-161,A320
986,6E-5203,A320
987,6E-5389,A320
988,6E-841,A320
989,6E-541,A320
990,I5-1622,A320
991,6E-6017,A320
992,6E-6445,A320
993,6E-5399,A321
994,6E-6517,A320
995,SG-5072,
996,6E-379,A320
997,G8-790,A320
998,6E-806,A320
999,6E-357,A321
1000,6E-332,A320
1001,6E-6212,A320
1002,6E-6464,A320
1003,6E-5344,A320
1004,I5-1454,A320
1005,G8-812,A320
1006,G8-7559,
1007,6E-309,A320
1008,6E-5303,A321
1009,6E-6085,A320
1010,6E-6479,A321
1011,6E-488,A320
1012,6E-738,A320
1013,6E-5305,A320
1014,6E-356,A320
1015,6E-6012,A320
1016,6E-6825,A320
1017,6E-575,A320
1018,6E-6269,A320
1019,6E-975,A321
1020,6E-6572,A321
1021,6E-503,A320
1022,6E-201,A320
1023,6E-676,A320
1024,6E-897,A321
1025,6E-246,A321
1026,6E-6798,A320
1027,I5-1564,A320
1028,6E-959,A320
1029,6E-255,A320
1030,6E-457,A320
1031,6E-952,A321
1032,I5-5204,A320
1033,SG-5073,
1034,6E-146,A320
1035,6E-172,A320
1036,6E-409,A321
1037,6E-524,A320
1038,SG-5092,
1039,6E-978,A321
1040,6E-442,A321
1041,6E-368,A321
1042,6E-969,A320
1043,6E-7204,ATR
1044,SG-5093,
1045,SG-5025,
1046,6E-7071,ATR
1047,6E-478,A320
1048,SG-1031,DH8B
1049,SG-8264,737
1050,I5-582,A320
1051,I5-2473,A320
1052,I5-1563,A320
1053,6E-2009,A320
1054,G8-519,A320
1055,6E-751,A320
1056,6E-487,A320
1057,6E-224,A320
1058,6E-6513,A320
1059,6E-7177,ATR
1060,AI-402,A321
1061,AI-768,A20N
1062,6E-7234,ATR
1063,I5-588,A320
1064,6E-854,A321
1065,6E-898,A321
1066,6E-135,A320
1067,UK-778,A320
1068,6E-6172,A321
1069,AI-721,A319
1070,6E-715,A320
1071,SG-3229,737
1072,SG-337,737
1073,6E-6488,A320
1074,6E-599,
1075,6E-394,A320
1076,G8-102,A320
1077,6E-404,A321
1078,AI-676,A320
1079,UK-772,B738
1080,6E-417,A320
1081,AI-773,A319
1082,UK-776,B738
1083,6E-994,A320
1084,SG-4027,DH8B
1085,6E-6021,A321
1086,UK-774,B738
1087,SG-4031,DH8B
1088,AI-765,A321
1089,6E-6785,A320
1090,6E-634,A320
1091,G8-227,A320
1092,SG-8130,737
1093,AI-763,A321
1094,AI-770,
1095,SG-9911,
1096,G8-512,A320
1097,6E-6214,A320
1098,6E-6344,A320
1099,6E-6324,A321
1100,UK-738,A320
1101,6E-895,A320
1102,I5-547,A320
1103,I5-552,A320
1104,6E-139,A320
1105,6E-566,A320
1106,AI-9745,AT43
1107,SG-3281,DH8B
1108,UK-720,A320
1109,6E-7561,ATR
1110,I5-319,A320
1111,6E-7583,ATR
1112,6E-512,A320
1113,SG-4025,DH8B
1114,6E-261,A320
1115,6E-961,A320
1116,AI-787,A319
1117,SG-3839,DH8B
1118,6E-496,A320
1119,6E-6623,A320
1120,SG-1077,DH8B
1121,6E-2474,A320
1122,6E-6917,A320
1123,6E-811,A320
1124,6E-2127,A320
1125,6E-6616,A320
1126,AI-424,A321
1127,AI-9741,
1128,6E-7623,ATR
1129,AI-9755,
1130,I5-2991,A320
1131,G8-393,A320
1132,AI-526,A319
1133,AI-745,A319
1134,6E-7264,ATR
1135,UK-708,A320
1136,6E-294,A320
1137,AI-732,A320
1138,G8-789,A320
1139,AI-747,A320
1140,G8-792,A320
1141,6E-6891,A320
1142,6E-875,A321
1143,6E-2516,A320
1144,6E-757,A320
1145,AI-9720,
1146,6E-375,A320
1147,AI-9929,
1148,AI-729,A319
1149,6E-6965,A320
1150,6E-563,A320
1151,AI-713,A319
1152,AI-715,A319
1153,I5-583,A320
1154,I5-5406,A320
1155,6E-318,A320
1156,6E-123,A321
1157,6E-245,A320
1158,I5-830,A320
1159,G8-537,A320
1160,G8-532,A320
1161,G8-125,A320
1162,G8-295,A320
1163,G8-626,
1164,6E-6087,A321
1165,G8-787,
1166,G8-7562,
1167,G8-7560,
1168,6E-893,A320
1169,AI-781,A321
1170,SG-1058,
1171,AI-743,A319
1172,G8-297,
1173,6E-856,A320
1174,6E-6717,A320
1175,6E-7115,ATR
1176,6E-713,A320
1177,G8-299,A320
1178,6E-2008,A320
1179,SG-254,737
1180,SG-264,737
1181,6E-6121,A320
1182,6E-7202,ATR
1183,6E-7147,ATR
1184,6E-798,A320
1185,AI-780,A321
1186,6E-759,A320
1187,G8-676,A320
1188,SG-3723,DH8B
1189,SG-649,737
1190,SG-3321,DH8B
1191,AI-775,A321
1192,AI-771,A319
1193,6E-192,A320
1194,SG-489,B38M
1195,6E-6227,A320
1196,6E-5327,A320
1197,6E-7175,ATR
1198,SG-406,737
1199,SG-242,B38M
1200,SG-387,737
1201,SG-679,737
1202,6E-725,A320
1203,SG-5088,
1204,SG-732,737
1205,G8-704,A320
1206,SG-3564,DH8B
1207,6E-6597,A320
1208,6E-7114,ATR
1209,SG-366,737
1210,6E-892,A320
1211,G8-701,A320
1212,6E-134,A320
1213,6E-716,A320
1214,6E-822,A320
1215,6E-966,A320
1216,6E-534,A321
1217,I5-371,A320
1218,I5-510,A320
1219,6E-345,A320
1220,6E-7713,ATR
1221,6E-989,A321
1222,6E-268,A321
1223,SG-5091,
1224,SG-5075,
1225,SG-274,
1226,6E-6128,A320
1227,6E-958,A320
1228,6E-292,A320
1229,I5-541,A320
1230,6E-271,A320
1231,I5-360,A20N
1232,I5-556,A320
1233,6E-374,A320
1234,6E-321,A320
1235,6E-6926,A320
1236,6E-207,A320
1237,SG-3832,DH8B
1238,SG-3835,DH8B
1239,6E-6444,A320
1240,6E-6741,A320
1241,SG-2508,DH8B
1242,SG-5067,
1243,I5-1543,A20N
1244,UK-880,A320
1245,I5-1517,A320
1246,SG-3283,DH8B
1247,6E-2248,A320
1248,6E-643,A320
1249,6E-913,A320
1250,6E-7136,ATR
1251,I5-1518,A320
1252,AI-9518,
1253,AI-9891,
1254,AI-9881,
1255,6E-7076,AT43
1256,SG-4003,DH8B
1257,6E-2456,A320
1258,6E-6684,A321
1259,UK-860,A320
1260,UK-890,A320
1261,UK-870,A320
1262,AI-698,A319
1263,6E-2093,A320
1264,UK-830,A321
1265,AI-543,A20N
1266,AI-9875,
1267,UK-876,A320
1268,6E-6307,A320
1269,6E-6737,A320
1270,AI-9885,
1271,AI-840,B77W
1272,AI-9893,
1273,6E-7121,ATR
1274,I5-517,A320
1275,6E-6467,A320
1276,G8-123,A320
1277,SG-390,737
1278,6E-7156,ATR
1279,AI-508,A319
1280,6E-6277,A320
1281,6E-269,A320
1282,AI-525,A319
1283,AI-9928,
1284,G8-661,
1285,SG-5069,
1286,AI-838,A321
1287,AI-541,A20N
1288,G8-424,A320
1289,6E-3211,A320
1290,6E-7271,ATR
1291,UK-878,B738
1292,AI-9921,
1293,AI-515,A319
1294,I5-974,A320
1295,6E-6865,A320
1296,AI-559,A20N
1297,UK-874,B738
1298,UK-659,A320
1299,UK-898,A320
1300,UK-894,A320
1301,6E-2349,A320
1302,6E-3214,A320
1303,6E-982,A320
1304,6E-6062,A320
1305,6E-6553,A320
1306,I5-766,A320
1307,G8-7556,
1308,G8-426,A320
1309,G8-509,A320
1310,G8-515,A320
1311,G8-571,A320
1312,G8-625,A320
1313,G8-681,A320
1314,G8-506,A320
